FoodCode	Food_Description	L1	L2	L3	L4
53544230	Granola_bar_oats_nuts_coated_with_non_chocolate_coating	Grain Product	Cakes, cookies, pies, pastries, bars	Danish, breakfast pastries, doughnuts	NA
53540300	Fiber_One_Chewy_Bar	Grain Product	Cakes, cookies, pies, pastries, bars	Danish, breakfast pastries, doughnuts	NA
74402310	Green_tomato_chile_sauce_raw_Salsa_de_tomate_verde_cruda	Vegetables	Tomatoes and tomato mixtures	Tomato sauces	NA
92650200	Monster_Energy_Drink	Sugars, Sweets, and Beverages	Nonalcoholic beverages	Beverages, nonfruit	NA
32105121	Egg_omelet_or_scrambled_egg_with_sausage_and_cheese	Eggs	Egg mixtures	Egg dishes made with whole eggs	NA
28340530	Chicken_soup	Meat, Poultry, Fish, and Mixtures	Frozen and shelf-stable plate meals, soups, and gravies	Soups, broths, extracts from meat, poultry, fish base	Poultry, soups
56205530	Rice_brown_cooked_instant_NS_as_to_fat_added_in_cooking	Grain Product	Pastas, cooked cereals, rice	Cooked cereals, rice	NA
83205500	Italian_dressing_reduced_calorie_fat_free	Fats, Oils, and Salad Dressings	Salad dressings	Light salad dressings	NA
53115600	Cake_poppyseed_without_icing	Grain Product	Cakes, cookies, pies, pastries, bars	Cakes	NA
83205000	Italian_dressing_low_calorie	Fats, Oils, and Salad Dressings	Salad dressings	Light salad dressings	NA
14502040	Imitation_cheese_American_or_cheddar_type_low_cholesterol	Milk and Milk Products	Cheeses	Imitation cheeses	NA
41435500	Clif_Bar	Dry Beans, Peas, Other Legumes, Nuts, and Seeds	Legumes	Soybean derived products (excluding milks)	NA
32105122	Egg_omelet_or_scrambled_egg_with_sausage_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS	Eggs	Egg mixtures	Egg dishes made with whole eggs	NA
14410300	Cheese_processed_American_or_Cheddar_type_lowfat	Milk and Milk Products	Cheeses	Processed cheeses and cheese spreads	NA
32105055	Egg_omelet_or_scrambled_egg_with_cheese_and_vegetables_other_than_dark_green	Eggs	Egg mixtures	Egg dishes made with whole eggs	NA
58100110	Burrito_with_beef_and_beans	Grain Product	Grain mixtures, frozen plate meals, soups	Mixtures, mainly grain, pasta, or bread	NA
58160220	Rice_with_vegetables_tomato_based_sauce_mixture	Grain Product	Grain mixtures, frozen plate meals, soups	Mixtures, mainly grain, pasta, or bread	NA
53540802	Kashi_TLC_Chewy_Granola_Bar	Grain Product	Cakes, cookies, pies, pastries, bars	Danish, breakfast pastries, doughnuts	NA
25221420	Pork_sausage_brown_and_serve_cooked	Meat, Poultry, Fish, and Mixtures	Organ meats, sausages and lunchmeats	Frankfurters, sausages, lunchmeats, meat spreads	Sausages
58145130	Macaroni_or_noodles_with_cheese_and_beef	Grain Product	Grain mixtures, frozen plate meals, soups	Mixtures, mainly grain, pasta, or bread	NA
58100310	Burrito_with_beans_meatless	Grain Product	Grain mixtures, frozen plate meals, soups	Mixtures, mainly grain, pasta, or bread	NA
54305500	Crispbread_wheat_or_rye_extra_crispy	Grain Product	Crackers and salty snacks from grain	Nonsweet crackers	NA
58145114	Macaroni_or_noodles_with_cheese_made_from_dry_mix_WO_FAT	Grain Product	Grain mixtures, frozen plate meals, soups	Mixtures, mainly grain, pasta, or bread	NA
11830800	Instant_breakfast_powder_not_reconstituted	Milk and Milk Products	Milk and milk drinks	Milk, dry, and powdered mixtures with	NA
83105100	Fruit_dressing_made_with_honey_oil_and_water	Fats, Oils, and Salad Dressings	Salad dressings	Regular salad dressings	NA
53540200	Breakfast_bar_cereal_crust_with_fruit_filling_lowfat	Grain Product	Cakes, cookies, pies, pastries, bars	Danish, breakfast pastries, doughnuts	NA
54101010	Cracker_animal	Grain Product	Crackers and salty snacks from grain	Sweet crackers	NA
41430310	Protein_diet_powder_with_soy_and_casein	Dry Beans, Peas, Other Legumes, Nuts, and Seeds	Legumes	Soybean derived products (excluding milks)	NA
53121260	Cake_yellow_with_icing_made_from_home_recipe_or_purchased_ready_to_eat	Grain Product	Cakes, cookies, pies, pastries, bars	Cakes	NA
14410400	Cheese_processed_Swiss	Milk and Milk Products	Cheeses	Processed cheeses and cheese spreads	NA
53121200	Cake_yellow_standard_type_mix_eggs_and_water_added_to_dry_mix_with_icing	Grain Product	Cakes, cookies, pies, pastries, bars	Cakes	NA
83210000	Creamy_dressing_made_with_sour_cream_andor_buttermilk_and_oil_diet_NS_as_to_low_or_reduced_calorie	Fats, Oils, and Salad Dressings	Salad dressings	Light salad dressings	NA
53544250	Granola_bar_coated_with_non_chocolate_coating	Grain Product	Cakes, cookies, pies, pastries, bars	Danish, breakfast pastries, doughnuts	NA
31109000	Egg_white_only_cooked_NS_as_to_fat_added_in_cooking	Eggs	Eggs	Chicken eggs	NA
31105000	Egg_whole_fried	Eggs	Eggs	Chicken eggs	NA
32105000	Egg_omelet_or_scrambled_egg_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS	Eggs	Egg mixtures	Egg dishes made with whole eggs	NA
32105010	Egg_omelet_or_scrambled_egg_with_cheese_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS	Eggs	Egg mixtures	Egg dishes made with whole eggs	NA
32105010	Egg_omelet_or_scrambled_egg_with_ham_or_bacon_and_cheese	Eggs	Egg mixtures	Egg dishes made with whole eggs	NA
32105085	Egg_omelet_or_scrambled_egg_with_ham_or_bacon_cheese_and_tomatoes	Eggs	Egg mixtures	Egg dishes made with whole eggs	NA
56205420	Rice_white_cooked_regular_fat_added_in_cooking	Grain Product	Pastas, cooked cereals, rice	Cooked cereals, rice	NA
56205510	Rice_brown_cooked_regular_fat_added_in_cooking	Grain Product	Pastas, cooked cereals, rice	Cooked cereals, rice	NA
58161300	White_rice_with_tomato_sauce	Grain Product	Grain mixtures, frozen plate meals, soups	Mixtures, mainly grain, pasta, or bread	NA
58161310	Rice_brown_with_tomato_sauce	Grain Product	Grain mixtures, frozen plate meals, soups	Mixtures, mainly grain, pasta, or bread	NA
