FoodCode	Food_Description	L1	L2	L3	L4	L5	Note	Use2016
32105130	Egg_omelet_or_scrambled_egg_with_onions_peppers_tomatoes_and_mushrooms_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS	Eggs	Egg_mixtures	Egg_dishes_made_with_whole_eggs	Egg_omelet_or_scrambled		done	0
41430000	Protein_powder_NFS						Use_2016_FoodCode_95230030_Protein_powder_NFS	1
41430010	Protein_supplement_powdered						Use_2016_FoodCode_95230030_Protein_powder_NFS	1
41430310	Protein_diet_powder_with_soy_and_casein	Sugars_Sweets_and_Beverages	Formulated_nutrition_beverages_energy_drinks_sports_drinks_function	Nutrition_powders			No_comparable_2016_FoodCode_modified_taxa_levels	0
41435110	High_protein_bar_candy_like_soy_and_milk_base	Grain_Product	Cakes_cookies_pies_pastries_bars	Bars	Nutrition_bars_protein_energy_meal		No_comparable_2016_FoodCode_modified_taxa_levels	0
41435500	Clif_Bar						Use_2016_FoodCode_53720200_Clif_Bar	1
41440010	Meal_replacement_or_supplement_liquid_soy_base_high_protein						Use_2016_FoodCode_95120010_Nutritional_drink_or_meal_replacement_high_protein_ready_to_drink_NFS	1
41601170	Bean_and_rice_soup						done	0
51121040	Bread_garlic_toasted	Grain_Product	Yeast	White_breads_rolls	Bread_with_additions	Bread_garlic_or_onion	done	0
53105260	Cake_chocolate_devils_food_or_fudge_with_icing_coating_or_filling_made_from_home_recipe_or_purchased_ready_to_eat	Grain_Product	Cakes_cookies_pies_pastries_bars	Cakes	Cakes	Cake_chocolate	done	0
53115600	Cake_poppyseed_without_icing	Grain_Product	Cakes_cookies_pies_pastries_bars	Cakes	Cakes	Cake_pound_pumpkin_raisin_nut	No_premade_logical_L5_no_empty_L5s_for_L4_cake	0
53120260	Cake_white_with_icing_made_from_home_recipe_or_purchased_ready_to_eat	Grain_Product	Cakes_cookies_pies_pastries_bars	Cakes	Cakes	Cake_white	done	0
53121200	Cake_yellow_standard_type_mix_eggs_and_water_added_to_dry_mix_with_icing	Grain_Product	Cakes_cookies_pies_pastries_bars	Cakes	Cakes	Cake_yellow	done	0
53121260	Cake_yellow_with_icing_made_from_home_recipe_or_purchased_ready_to_eat	Grain_Product	Cakes_cookies_pies_pastries_bars	Cakes	Cakes	Cake_yellow	done	0
53209000	Cookie_chocolate_chocolate_sandwich_or_chocolate_coated_or_striped	Grain_Product	Cakes_cookies_pies_pastries_bars	Cookies	Cookies	Cookie_sandwich	done	0
53243100	Cookie_rich_all_chocolate_with_chocolate_filling_or_chocolate_chips	Grain_Product	Cakes_cookies_pies_pastries_bars	Cookies	Cookies	Cookie_sandwich	done	0
53540200	Breakfast_bar_cereal_crust_with_fruit_filling_lowfat	Grain_Product	Cakes_cookies_pies_pastries_bars	Bars	Cereal_bars_granola_bars		done	0
53540300	Fiber_One_Chewy_Bar						Use_2016_FoodCode_53710400_Fiber_One_Chewy_Bar	1
53540802	Kashi_TLC_Chewy_Granola_Bar						Use_2016_FoodCode_53710802_Kashi_TLC_Chwy_Granola_Bar	1
53540806	Kashi_TLC_Crunchy_Granola_Bar						Use_2016_FoodCode_53710806_Kashi_TLC_Crunchy_Granola_Bar	1
53542100	Granola_bar_oats_sugar_raisins_coconut	Grain_Product	Cakes_cookies_pies_pastries_bars	Bars	Cereal_bars_granola_bars		done	0
53542200	Granola_bar_oats_fruit_and_nuts_lowfat	Grain_Product	Cakes_cookies_pies_pastries_bars	Bars	Cereal_bars_granola_bars		done	0
53544230	Granola_bar_oats_nuts_coated_with_non_chocolate_coating						Use_2016_FoodCode_53714230_Granola_bar_oats_nuts_coated_with_non_chocolate_coating	1
53544250	Granola_bar_coated_with_non_chocolate_coating						Use_2016_FoodCode_53714250_Granola_bar_coated_with_non_chocolate_coating	1
53544450	PowerBar_fortified_high_energy_bar						Use_2016_FoodCode_53720300_PowerBar	1
54101010	Cracker_animal	Grain_Product	Crackers_and_salty_snacks_from_grain	Sweet_crackers			done	0
54305500	Crispbread_wheat_or_rye_extra_crispy	Grain_Product	Crackers_and_salty_snacks_from_grain	Nonsweet_crackers	Nonsweet_crackers	Crispbread_rye	done	0
56204990	Rice_white_cooked_regular_NS_as_to_fat_added_in_cooking						Use_2016_FoodCode_56205330_Rice_white_and_wild_cooked_NS_as_to_fat_added_in_cooking	1
56205010	Rice_white_cooked_regular_fat_not_added_in_cooking						Use_2016_FoodCode_56205300_Rice_white_and_wild_cooked_fat_not_added_in_cooking	1
56205110	Rice_brown_cooked_regular_fat_not_added_in_cooking						Use_2016_FoodCode_56205310_Rice_brown_and_wild_cooked_fat_not_added_in_cooking	1
56205420	Rice_white_cooked_regular_fat_added_in_cooking						Use_2016_FoodCode_56205320_Rice_white_and_wild_cooked_fat_added_in_cooking	1
56205510	Rice_brown_cooked_regular_fat_added_in_cooking						Use_2016_FoodCode_56205340_Rice_brown_and_wild_cooked_fat_added_in_cooking	1
56205530	Rice_brown_cooked_instant_NS_as_to_fat_added_in_cooking						Use_2016_FoodCode_56205350_Rice_brown_and_wild_cooked_NS_as_to_fat_added_in_cooking	1
57124500	Cinnamon_Grahams_General_Mills	Grain_Product	Cereals_not_cooked_or_NS_as_to_cooked	Readytoeat_cereals			done	0
58100110	Burrito_with_beef_and_beans	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Burrito_chilaquiles_or_enchilada	done	0
58100130	Burrito_with_beef_and_cheese_no_beans	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Burrito_chilaquiles_or_enchilada	done	0
58100210	Burrito_with_chicken_and_beans	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Burrito_chilaquiles_or_enchilada	Use_2016_FoodCode_58100220_Burrito_with_chicken_and_beans	1
58100310	Burrito_with_beans_meatless	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread		Use_2016_FoodCode_58100320_Burrito_with_beans_meatless	1
58101230	Flauta_with_beef	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Nachos_gordita_chimichanga_quesadilla_taquito	done	0
58101530	Soft_taco_with_beef_cheese_lettuce_tomato_and_salsa	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Taco_or_tostada	done	0
58145114	Macaroni_or_noodles_with_cheese_made_from_dry_mix_WO_FAT	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Macaroni_or_noodles_with_cheese	done	0
58145115	Macaroni_or_noodles_with_cheese_from_boxed_mix_with_already_prepared_cheese_sauce	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Macaroni_or_noodles_with_cheese	done	0
58145130	Macaroni_or_noodles_with_cheese_and_beef	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Macaroni_or_noodles_with_cheese	done	0
58160220	Rice_with_vegetables_tomato_based_sauce_mixture	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Rice_with_vegetables_or_lentils	done	0
58161110	Rice_casserole_with_cheese	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Mixed_rice_dishes	done	0
58161300	White_rice_with_tomato_sauce	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Rice_with_vegetables_or_lentils	Use_2016_FoodCode_58160520_Rice_white_with_tomatoes_andor_tomato_based_sauce_NS_as_to_fat_added_in_cooking	1
58161310	Rice_brown_with_tomato_sauce	Grain_Product	Grain_mixtures_frozen_plate_meals_soups	Mixtures_mainly_grain_pasta_or_bread	Mixtures_mainly_grain_pasta_or_bread	Rice_with_vegetables_or_lentils	Use_2016_FoodCode_58161460_Rice_brown_with_tomatoes_andor_tomato_based_sauce_NS_as_to_fat_added_in_cooking	1
71201010	White_potato_chips	Vegetables	White_potatoes_and_Puerto_Rican_starchy_vegetables	White_potatoes_chips_and_sticks	White_potatoes_chips_and_sticks	White_potato_chips	Use_2016_FoodCode_71201015_White_potato_chips_regular_cut	1
74402310	Green_tomato_chile_sauce_raw_Salsa_de_tomate_verde_cruda	Vegetables	Tomatoes_and_tomato_mixtures	Tomato_sauces	Tomato_sauces		done	0
74403010	Tomato_sauce	Vegetables	Tomatoes_and_tomato_mixtures	Tomato_sauces	Tomato_sauces		done	0
83105100	Fruit_dressing_made_with_honey_oil_and_water	Fats_Oils_and_Salad_Dressings	Salad_dressings	Regular_salad_dressings			done	0
83205000	Italian_dressing_low_calorie	Fats_Oils_and_Salad_Dressings	Salad_dressings	Light_salad_dressings			Use_2016_FoodCode_83205450_Italian_dressing_light	1
83205500	Italian_dressing_reduced_calorie_fat_free	Fats_Oils_and_Salad_Dressings	Salad_dressings	Light_salad_dressings			Use_2016_FoodCode_83300600_Italian_dressing_fat_free	1
83208000	Vinegar_sugar_and_water_dressing	Fats_Oils_and_Salad_Dressings	Salad_dressings	Light_salad_dressings			done	0
83210000	Creamy_dressing_made_with_sour_cream_andor_buttermilk_and_oil_diet_NS_as_to_low_or_reduced_calorie	Fats_Oils_and_Salad_Dressings	Salad_dressings	Light_salad_dressings			done	0
92560100	Gatorade_Thirst_Quencher_sports_drink	Sugars_Sweets_and_Beverages	Formulated_nutrition_beverages_energy_drinks_sports_drinks_function		Sports_drinks		Use_2016_FoodCode_95320200_Gatorade_Thirst_Quencher_sports_drink	1
92650200	Monster_Energy_Drink	Sugars_Sweets_and_Beverages	Formulated_nutrition_beverages_energy_drinks_sports_drinks_function		Energy_drinks		Use_2016_FoodCode_95310400_Monster_Energy_Drink	1
94000000	Water_as_an_ingredient	Sugars_Sweets_and_Beverages	Water_noncarbonated	Water_not_bottled			done	0
