"FoodCode","Food_Description"
56205510,"Brown_rice_cooked_regular_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
32105000,"Egg_omelet_or_scrambled_egg_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
31104000,"Egg_whole_poached"
31103000,"Egg_whole_boiled"
53243100,"Cookie_rich_all_chocolate_with_chocolate_filling_or_chocolate_chips"
53120260,"Cake_white_with_icing_made_from_home_recipe_or_purchased_ready_to_eat"
53105260,"Cake_chocolate_devils_food_or_fudge_with_icing_coating_or_filling_made_from_home_recipe_or_purchased_ready_to_eat"
57124500,"Cinnamon_Grahams_General_Mills"
58161300,"White_rice_with_tomato_sauce_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
31105000,"Egg_whole_fried_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
41601170,"Bean_and_rice_soup"
74403010,"Tomato_sauce"
41430010,"Protein_supplement_powdered"
32105040,"Egg_omelet_or_scrambled_egg_with_dark_green_vegetables"
41440010,"Meal_replacement_or_supplement_liquid_soy_base_high_protein"
92560100,"Gatorade_Thirst_Quencher_sports_drink"
53544230,"Granola_bar_oats_nuts_coated_with_non_chocolate_coating"
53540300,"Fiber_One_Chewy_Bar"
32105085,"Egg_omelet_or_scrambled_egg_with_ham_or_bacon_cheese_and_tomatoes"
74402310,"Green_tomato_chile_sauce_raw_Salsa_de_tomate_verde_cruda"
92650200,"Monster_Energy_Drink"
32105121,"Egg_omelet_or_scrambled_egg_with_sausage_and_cheese"
56205420,"Rice_white_cooked_regular_fat_added_in_cooking"
28340530,"Chicken_soup"
56205530,"Rice_brown_cooked_instant_NS_as_to_fat_added_in_cooking"
83205500,"Italian_dressing_reduced_calorie_fat_free"
53115600,"Cake_poppyseed_without_icing"
83205000,"Italian_dressing_low_calorie"
14502040,"Imitation_cheese_American_or_cheddar_type_low_cholesterol"
41435500,"Clif_Bar"
31105000,"Egg_whole_fried_WO_FAT_OR_W_NONSTICK_SPRAY_INCLUDE_PAM_"
58161310,"Rice_brown_with_tomato_sauce_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
32105122,"Egg_omelet_or_scrambled_egg_with_sausage_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
14410300,"Cheese_processed_American_or_Cheddar_type_lowfat"
32105055,"Egg_omelet_or_scrambled_egg_with_cheese_and_vegetables_other_than_dark_green"
58100110,"Burrito_with_beef_and_beans"
32105010,"Egg_omelet_or_scrambled_egg_with_cheese_WO_FAT_OR_W_NONSTICK_SPRAY_INCLUDE_PAM_"
56205510,"Rice_brown_cooked_regular_fat_added_in_cooking"
31105000,"Egg_whole_fried_W_BUTTER_NFS"
58160220,"Rice_with_vegetables_tomato_based_sauce_mixture"
53540802,"Kashi_TLC_Chewy_Granola_Bar"
32105010,"Egg_omelet_or_scrambled_egg_with_cheese_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS"
25221420,"Pork_sausage_brown_and_serve_cooked"
58145130,"Macaroni_or_noodles_with_cheese_and_beef"
58161310,"Rice_brown_with_tomato_sauce"
58100310,"Burrito_with_beans_meatless"
54305500,"Crispbread_wheat_or_rye_extra_crispy"
58145114,"Macaroni_or_noodles_with_cheese_made_from_dry_mix_WO_FAT"
11830800,"Instant_breakfast_powder_not_reconstituted"
58161310,"Rice_brown_with_tomato_sauce_WO_FAT"
83105100,"Fruit_dressing_made_with_honey_oil_and_water"
32105010,"Egg_omelet_or_scrambled_egg_with_ham_or_bacon_and_cheese"
53540200,"Breakfast_bar_cereal_crust_with_fruit_filling_lowfat"
54101010,"Cracker_animal"
41430310,"Protein_diet_powder_with_soy_and_casein"
53121260,"Cake_yellow_with_icing_made_from_home_recipe_or_purchased_ready_to_eat"
14410400,"Cheese_processed_Swiss"
53121200,"Cake_yellow_standard_type_mix_eggs_and_water_added_to_dry_mix_with_icing"
83210000,"Creamy_dressing_made_with_sour_cream_andor_buttermilk_and_oil_diet_NS_as_to_low_or_reduced_calorie"
53544250,"Granola_bar_coated_with_non_chocolate_coating"
31109000,"Egg_white_only_cooked_NS_as_to_fat_added_in_cooking"
