"FoodID","taxonomy","Main.food.description","Food_Description","check"
27311110,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Beef_with_starch_and_vegetable;L5_;Beef_potatoes_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_no_sauce_mixture_","Beef_potatoes_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_no_sauce_mixture","Beef_potatoes_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_no_sauce_mixture_WO_FAT","no"
27311110,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Beef_with_starch_and_vegetable;L5_;Beef_potatoes_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_no_sauce_mixture_","Beef_potatoes_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_no_sauce_mixture","Beef_potatoes_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_no_sauce_mixture_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
27345020,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_rice_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_sauce_mixture_","Chicken_or_turkey_rice_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_sauce_mixture","Chicken_or_turkey_rice_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_sauce_mixture_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
27415200,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_potatoes_soy_based_sauce_mixture_","Beef_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_potatoes_soy_based_sauce_mixture","Beef_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_potatoes_soy_based_sauce_mixture_WO_FAT","no"
27450405,"L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Fish_shellfish_with_vegetables_no_potatoes;L5_;Shrimp_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_potatoes_no_sauce_mixture_","Shrimp_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_potatoes_no_sauce_mixture","Shrimp_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_potatoes_no_sauce_mixture_WO_FAT","no"
41601020,"L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soups_with_legumes_as_major_ingredient;L4_;L5_;Bean_with_bacon_or_ham_soup_canned_or_ready_to_serve","Bean_with_bacon_or_ham_soup_canned_or_ready_to_serve","Bean_with_bacon_or_pork_soup_W_MILK","no"
56201010,"L1_Grain_Product;L2_Pastas_cooked_cereals_rice;L3_Cooked_cereals_rice;L4_Cooked_cereals_rice;L5_Grits_cooked_cornmeal_or_cornstarch;Grits_cooked_corn_or_hominy_regular_fat_not_added_in_cooking","Grits_cooked_corn_or_hominy_regular_fat_not_added_in_cooking","Grits_cooked_corn_or_hominy_regular_fat_not_added_in_cooking_W_MILK","no"
56207030,"L1_Grain_Product;L2_Pastas_cooked_cereals_rice;L3_Cooked_cereals_rice;L4_Cooked_cereals_rice;L5_Wheat_cream_of_bulgur_couscous;Wheat_cream_of_cooked_instant_fat_not_added_in_cooking","Wheat_cream_of_cooked_instant_fat_not_added_in_cooking","Wheat_cream_of_cooked_instant_fat_not_added_in_cooking_W_MILK","no"
58132340,"L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_Mixtures_mainly_grain_pasta_or_bread;L5_Spaghetti;Spaghetti_with_tomato_sauce_and_vegetables","Spaghetti_with_tomato_sauce_and_vegetables","Spaghetti_with_tomato_sauce_and_vegetables_WO_FAT","no"
58132350,"L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_Mixtures_mainly_grain_pasta_or_bread;L5_Spaghetti;Spaghetti_with_tomato_sauce_meatless_whole_wheat_noodles","Spaghetti_with_tomato_sauce_meatless_whole_wheat_noodles","Spaghetti_with_tomato_sauce_meatless_whole_wheat_noodles_WO_FAT","no"
58132910,"L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_Mixtures_mainly_grain_pasta_or_bread;L5_Spaghetti;Spaghetti_with_tomato_sauce_and_poultry","Spaghetti_with_tomato_sauce_and_poultry","Spaghetti_with_tomato_sauce_and_poultry_WO_FAT","no"
58146100,"L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_Mixtures_mainly_grain_pasta_or_bread;L5_Pasta_with_sauce;Pasta_with_tomato_sauce_meatless","Pasta_with_tomato_sauce_meatless","Pasta_with_tomato_sauce_meatless_WO_FAT","no"
58160120,"L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_Mixtures_mainly_grain_pasta_or_bread;L5_Rice_with_vegetables_or_lentils;Rice_with_beans_and_tomatoes","Rice_with_beans_and_tomatoes","Rice_with_beans_and_tomatoes_WO_FAT","no"
58161320,"L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread;L4_Mixtures_mainly_grain_pasta_or_bread;L5_Rice_brown_with_vegetables;Rice_brown_with_beans","Rice_brown_with_beans","Rice_brown_with_beans_WO_FAT","no"
72125221,"L1_Vegetables;L2_Darkgreen_vegetables;L3_Darkgreen_leafy_vegetables;L4_Darkgreen_leafy_vegetables;L5_Spinach;Spinach_cooked_from_fresh_fat_added_in_cooking","Spinach_cooked_from_fresh_fat_added_in_cooking","Spinach_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS","no"
72125221,"L1_Vegetables;L2_Darkgreen_vegetables;L3_Darkgreen_leafy_vegetables;L4_Darkgreen_leafy_vegetables;L5_Spinach;Spinach_cooked_from_fresh_fat_added_in_cooking","Spinach_cooked_from_fresh_fat_added_in_cooking","Spinach_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
73111221,"L1_Vegetables;L2_Deepyellow_vegetables;L3_Carrots;L4_Carrots;L5_Peas_and_carrots;Peas_and_carrots_cooked_from_fresh_fat_added_in_cooking","Peas_and_carrots_cooked_from_fresh_fat_added_in_cooking","Peas_and_carrots_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
74202050,"L1_Vegetables;L2_Tomatoes_and_tomato_mixtures;L3_Tomatoes_cooked;L4_Tomatoes_cooked;L5_Tomatoes_broiled_or_fried;Tomatoes_red_NS_as_to_form_fried","Tomatoes_red_NS_as_to_form_fried","Tomatoes_red_NS_as_to_form_fried_WO_FAT","no"
75205032,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Beans_lima_or_string;Beans_string_green_cooked_from_frozen_fat_added_in_cooking","Beans_string_green_cooked_from_frozen_fat_added_in_cooking","Beans_string_green_cooked_from_frozen_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
75205130,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Beans_lima_or_string;Beans_string_green_canned_low_sodium_fat_added_in_cooking","Beans_string_green_canned_low_sodium_fat_added_in_cooking","Beans_string_green_canned_low_sodium_fat_added_in_cooking_W_BUTTER_NFS","no"
75216122,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Corn_or_cucumber;Corn_yellow_cooked_from_frozen_fat_added_in_cooking","Corn_yellow_cooked_from_frozen_fat_added_in_cooking","Corn_yellow_cooked_from_frozen_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
75216122,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Corn_or_cucumber;Corn_yellow_cooked_from_frozen_fat_added_in_cooking","Corn_yellow_cooked_from_frozen_fat_added_in_cooking","Corn_yellow_cooked_from_frozen_fat_added_in_cooking_W_BUTTER_NFS","no"
75216123,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Corn_or_cucumber;Corn_yellow_cooked_from_canned_fat_added_in_cooking","Corn_yellow_cooked_from_canned_fat_added_in_cooking","Corn_yellow_cooked_from_canned_fat_added_in_cooking_W_BUTTER_NFS","no"
75219020,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Mushrooms;Mushrooms_cooked_NS_as_to_form_fat_added_in_cooking","Mushrooms_cooked_NS_as_to_form_fat_added_in_cooking","Mushrooms_cooked_NS_as_to_form_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
75222020,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Parsnips;Parsnips_cooked_fat_added_in_cooking","Parsnips_cooked_fat_added_in_cooking","Parsnips_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
75224032,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Peas_green;Peas_green_cooked_from_frozen_fat_added_in_cooking","Peas_green_cooked_from_frozen_fat_added_in_cooking","Peas_green_cooked_from_frozen_fat_added_in_cooking_W_BUTTER_NFS","no"
75224032,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Peas_green;Peas_green_cooked_from_frozen_fat_added_in_cooking","Peas_green_cooked_from_frozen_fat_added_in_cooking","Peas_green_cooked_from_frozen_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
75226060,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Peppers;Peppers_red_cooked_fat_added_in_cooking","Peppers_red_cooked_fat_added_in_cooking","Peppers_red_cooked_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS","no"
75226060,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Peppers;Peppers_red_cooked_fat_added_in_cooking","Peppers_red_cooked_fat_added_in_cooking","Peppers_red_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
75231021,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Snowpea;Snowpea_pea_pod_cooked_from_fresh_fat_added_in_cooking","Snowpea_pea_pod_cooked_from_fresh_fat_added_in_cooking","Snowpea_pea_pod_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
75233011,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Squash;Squash_summer_yellow_or_green_cooked_from_fresh_fat_not_added_in_cooking","Squash_summer_yellow_or_green_cooked_from_fresh_fat_not_added_in_cooking","Squash_summeryellow_or_green_cooked_from_fresh_fat_not_added_in_cooking","no"
75234021,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetables_cooked;L4_Other_vegetables_cooked;L5_Turnip;Turnip_cooked_from_fresh_fat_added_in_cooking","Turnip_cooked_from_fresh_fat_added_in_cooking","Turnip_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
75307000,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetable_mixtures_cooked;L4_Other_vegetable_mixtures_cooked;L5_Green_peppers_and_onions;Green_peppers_and_onions_cooked_fat_added_in_cooking","Green_peppers_and_onions_cooked_fat_added_in_cooking","Green_peppers_and_onions_cooked_fat_added_in_cooking_WO_FAT","no"
75307000,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetable_mixtures_cooked;L4_Other_vegetable_mixtures_cooked;L5_Green_peppers_and_onions;Green_peppers_and_onions_cooked_fat_added_in_cooking","Green_peppers_and_onions_cooked_fat_added_in_cooking","Green_peppers_and_onions_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
75330120,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetable_mixtures_cooked;L4_Vegetable_combination;L5_;Vegetable_combination_including_carrots_broccoli_andor_dark_green_leafy_cooked_no_sauce_fat_added_in_cooking","Vegetable_combination_including_carrots_broccoli_andor_dark_green_leafy_cooked_no_sauce_fat_added_in_cooking","Vegetable_combination_including_carrots_broccoli_andor_dark_green_leafy_cooked_no_sauce_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
75330150,"L1_Vegetables;L2_Other_vegetables;L3_Other_vegetable_mixtures_cooked;L4_Vegetable_combination;L5_;Vegetable_combination_excluding_carrots_broccoli_and_dark_green_leafy_cooked_no_sauce_fat_added_in_cooking","Vegetable_combination_excluding_carrots_broccoli_and_dark_green_leafy_cooked_no_sauce_fat_added_in_cooking","Vegetable_combination_excluding_carrots_broccoli_and_dark_green_leafy_cooked_no_sauce_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS","no"
91731010,"L1_Sugars_Sweets_and_Beverages;L2_Sugars_and_sweets;L3_Candies;L4_Candies;L5_Coated_peanut_candy;MMs_Peanut_Chocolate_Candies","MMs_Peanut_Chocolate_Candies","M_Ms_Peanut_Chocolate_Candies","no"
91731060,"L1_Sugars_Sweets_and_Beverages;L2_Sugars_and_sweets;L3_Candies;L4_Candies;L5_Coated_peanut_candy;MMs_Peanut_Butter_Chocolate_Candies","MMs_Peanut_Butter_Chocolate_Candies","M_Ms_Peanut_Butter_Chocolate_Candies","no"
91746200,"L1_Sugars_Sweets_and_Beverages;L2_Sugars_and_sweets;L3_Candies;L4_Candies;L5_Chocolate_candy;MMs_Pretzel_Chocolate_Candies","MMs_Pretzel_Chocolate_Candies","M_Ms_Pretzel_Chocolate_Candies","no"
92101910,"L1_Sugars_Sweets_and_Beverages;L2_Nonalcoholic_beverages;L3_Coffee;L4_Coffee;L5_Coffee_from_ground;Coffee_Latte_decaffeinated","Coffee_Latte_decaffeinated","Coffee_latte_decaffeinated_W_SKIM_MILK","no"
