"combo","FoodCode.x","Food_Description","FoodCode.y","Food_Description.y","FoodCode.jitter","FoodCode"
"11813000_Milk_dry_nonfat_not_reconstituted",11813000,"Milk_dry_nonfat_not_reconstituted",NA,NA,NA,"11813000"
"11830110_Cocoa_powder_with_nonfat_dry_milk_and_low_calorie_sweetener_dry_mix_not_reconstituted",11830110,"Cocoa_powder_with_nonfat_dry_milk_and_low_calorie_sweetener_dry_mix_not_reconstituted",NA,NA,NA,"11830110"
"11830160_Cocoa_or_chocolate_flavored_beverage_powder_with_sugar_dry_mix_not_reconstituted",11830160,"Cocoa_or_chocolate_flavored_beverage_powder_with_sugar_dry_mix_not_reconstituted",NA,NA,NA,"11830160"
"11830160_Cocoa_or_chocolate_flavored_beverage_powder_with_sugar_dry_mix_not_reconstituted",11830160,"Cocoa_or_chocolate_flavored_beverage_powder_with_sugar_dry_mix_not_reconstituted",NA,NA,NA,"11830160"
"11830165_Cocoa_or_chocolate_flavored_beverage_powder_with_reduced_sugar_dry_mix_not_reconstituted",11830165,"Cocoa_or_chocolate_flavored_beverage_powder_with_reduced_sugar_dry_mix_not_reconstituted",NA,NA,NA,"11830165"
"11830800_Instant_breakfast_powder_not_reconstituted",11830800,"Instant_breakfast_powder_not_reconstituted",NA,NA,NA,"11830800"
"12100100_Cream_NS_as_to_light_heavy_or_half_and_half",12100100,"Cream_NS_as_to_light_heavy_or_half_and_half",NA,NA,NA,"12100100"
"12100100_Cream_NS_as_to_light_heavy_or_half_and_half",12100100,"Cream_NS_as_to_light_heavy_or_half_and_half",NA,NA,NA,"12100100"
"12110100_Cream_light_fluid",12110100,"Cream_light_fluid",NA,NA,NA,"12110100"
"12110100_Cream_light_fluid",12110100,"Cream_light_fluid",NA,NA,NA,"12110100"
"12110300_Cream_light_whipped_unsweetened",12110300,"Cream_light_whipped_unsweetened",NA,NA,NA,"12110300"
"12120100_Cream_half_and_half",12120100,"Cream_half_and_half",NA,NA,NA,"12120100"
"12120100_Cream_half_and_half",12120100,"Cream_half_and_half",NA,NA,NA,"12120100"
"12120105_Cream_half_and_half_low_fat",12120105,"Cream_half_and_half_low_fat",NA,NA,NA,"12120105"
"12120110_Cream_half_and_half_fat_free",12120110,"Cream_half_and_half_fat_free",NA,NA,NA,"12120110"
"12130100_Cream_heavy_fluid",12130100,"Cream_heavy_fluid",NA,NA,NA,"12130100"
"12130100_Cream_heavy_fluid",12130100,"Cream_heavy_fluid",NA,NA,NA,"12130100"
"12140000_Cream_heavy_whipped_sweetened",12140000,"Cream_heavy_whipped_sweetened",NA,NA,NA,"12140000"
"12140000_Cream_heavy_whipped_sweetened",12140000,"Cream_heavy_whipped_sweetened",NA,NA,NA,"12140000"
"12140100_Cream_whipped_pressurized_container",12140100,"Cream_whipped_pressurized_container",NA,NA,NA,"12140100"
"12210200_Cream_substitute_liquid",12210200,"Cream_substitute_liquid",NA,NA,NA,"12210200"
"12210200_Cream_substitute_liquid",12210200,"Cream_substitute_liquid",NA,NA,NA,"12210200"
"12210210_Cream_substitute_flavored_liquid",12210210,"Cream_substitute_flavored_liquid",NA,NA,NA,"12210210"
"12210210_Cream_substitute_flavored_liquid",12210210,"Cream_substitute_flavored_liquid",NA,NA,NA,"12210210"
"12210250_Cream_substitute_light_liquid",12210250,"Cream_substitute_light_liquid",NA,NA,NA,"12210250"
"12210255_Cream_substitute_light_flavored_liquid",12210255,"Cream_substitute_light_flavored_liquid",NA,NA,NA,"12210255"
"12210270_Cream_substitute_fat_free_flavored_liquid",12210270,"Cream_substitute_fat_free_flavored_liquid",NA,NA,NA,"12210270"
"12210305_Cream_substitute_sugar_free_liquid",12210305,"Cream_substitute_sugar_free_liquid",NA,NA,NA,"12210305"
"12210310_Cream_substitute_sugar_free_flavored_liquid",12210310,"Cream_substitute_sugar_free_flavored_liquid",NA,NA,NA,"12210310"
"12210400_Cream_substitute_powdered",12210400,"Cream_substitute_powdered",NA,NA,NA,"12210400"
"12210400_Cream_substitute_powdered",12210400,"Cream_substitute_powdered",NA,NA,NA,"12210400"
"12210410_Cream_substitute_light_powdered",12210410,"Cream_substitute_light_powdered",NA,NA,NA,"12210410"
"12220200_Whipped_topping_nondairy_frozen",12220200,"Whipped_topping_nondairy_frozen",NA,NA,NA,"12220200"
"12220200_Whipped_topping_nondairy_frozen",12220200,"Whipped_topping_nondairy_frozen",NA,NA,NA,"12220200"
"12310100_Sour_cream",12310100,"Sour_cream",NA,NA,NA,"12310100"
"12310100_Sour_cream",12310100,"Sour_cream",NA,NA,NA,"12310100"
"12310300_Sour_cream_reduced_fat",12310300,"Sour_cream_reduced_fat",NA,NA,NA,"12310300"
"12310350_Sour_cream_light",12310350,"Sour_cream_light",NA,NA,NA,"12310350"
"12310350_Sour_cream_light",12310350,"Sour_cream_light",NA,NA,NA,"12310350"
"12310370_Sour_cream_fat_free",12310370,"Sour_cream_fat_free",NA,NA,NA,"12310370"
"12350000_Dip_sour_cream_base",12350000,"Dip_sour_cream_base",NA,NA,NA,"12350000"
"12350000_Dip_sour_cream_base",12350000,"Dip_sour_cream_base",NA,NA,NA,"12350000"
"12350020_Dip_sour_cream_base_reduced_calorie",12350020,"Dip_sour_cream_base_reduced_calorie",NA,NA,NA,"12350020"
"12350100_Spinach_dip",12350100,"Spinach_dip",NA,NA,NA,"12350100"
"12350110_Spinach_and_artichoke_dip",12350110,"Spinach_and_artichoke_dip",NA,NA,NA,"12350110"
"13110000_Ice_cream_NFS",13110000,"Ice_cream_NFS",NA,NA,NA,"13110000"
"13110100_Ice_cream_regular_flavors_other_than_chocolate",13110100,"Ice_cream_regular_flavors_other_than_chocolate",NA,NA,NA,"13110100"
"13110100_Ice_cream_regular_flavors_other_than_chocolate",13110100,"Ice_cream_regular_flavors_other_than_chocolate",NA,NA,NA,"13110100"
"13110110_Ice_cream_regular_chocolate",13110110,"Ice_cream_regular_chocolate",NA,NA,NA,"13110110"
"13110110_Ice_cream_regular_chocolate",13110110,"Ice_cream_regular_chocolate",NA,NA,NA,"13110110"
"13110120_Ice_cream_rich_flavors_other_than_chocolate",13110120,"Ice_cream_rich_flavors_other_than_chocolate",NA,NA,NA,"13110120"
"13110120_Ice_cream_rich_flavors_other_than_chocolate",13110120,"Ice_cream_rich_flavors_other_than_chocolate",NA,NA,NA,"13110120"
"13110130_Ice_cream_rich_chocolate",13110130,"Ice_cream_rich_chocolate",NA,NA,NA,"13110130"
"13110200_Ice_cream_soft_serve_flavors_other_than_chocolate",13110200,"Ice_cream_soft_serve_flavors_other_than_chocolate",NA,NA,NA,"13110200"
"13110320_Ice_cream_no_sugar_added_flavors_other_than_chocolate",13110320,"Ice_cream_no_sugar_added_flavors_other_than_chocolate",NA,NA,NA,"13110320"
"13120050_Ice_cream_bar_or_stick_not_chocolate_covered_or_cake_covered",13120050,"Ice_cream_bar_or_stick_not_chocolate_covered_or_cake_covered",NA,NA,NA,"13120050"
"13120100_Ice_cream_bar_or_stick_chocolate_covered",13120100,"Ice_cream_bar_or_stick_chocolate_covered",NA,NA,NA,"13120100"
"13120121_Ice_cream_bar_or_stick_rich_ice_cream_thick_chocolate_covering",13120121,"Ice_cream_bar_or_stick_rich_ice_cream_thick_chocolate_covering",NA,NA,NA,"13120121"
"13120121_Ice_cream_bar_or_stick_rich_ice_cream_thick_chocolate_covering",13120121,"Ice_cream_bar_or_stick_rich_ice_cream_thick_chocolate_covering",NA,NA,NA,"13120121"
"13120130_Ice_cream_bar_or_stick_rich_ice_cream_chocolate_covered_with_nuts",13120130,"Ice_cream_bar_or_stick_rich_ice_cream_chocolate_covered_with_nuts",NA,NA,NA,"13120130"
"13120140_Ice_cream_bar_or_stick_chocolate_ice_cream_chocolate_covered",13120140,"Ice_cream_bar_or_stick_chocolate_ice_cream_chocolate_covered",NA,NA,NA,"13120140"
"13120500_Ice_cream_sandwich",13120500,"Ice_cream_sandwich",NA,NA,NA,"13120500"
"13120500_Ice_cream_sandwich",13120500,"Ice_cream_sandwich",NA,NA,NA,"13120500"
"13120710_Ice_cream_cone_chocolate_covered_with_nuts_flavors_other_than_chocolate",13120710,"Ice_cream_cone_chocolate_covered_with_nuts_flavors_other_than_chocolate",NA,NA,NA,"13120710"
"13120730_Ice_cream_cone_no_topping_flavors_other_than_chocolate",13120730,"Ice_cream_cone_no_topping_flavors_other_than_chocolate",NA,NA,NA,"13120730"
"13120730_Ice_cream_cone_no_topping_flavors_other_than_chocolate",13120730,"Ice_cream_cone_no_topping_flavors_other_than_chocolate",NA,NA,NA,"13120730"
"13120740_Ice_cream_cone_no_topping_NS_as_to_flavor",13120740,"Ice_cream_cone_no_topping_NS_as_to_flavor",NA,NA,NA,"13120740"
"13120740_Ice_cream_cone_no_topping_NS_as_to_flavor",13120740,"Ice_cream_cone_no_topping_NS_as_to_flavor",NA,NA,NA,"13120740"
"13120770_Ice_cream_cone_no_topping_chocolate_ice_cream",13120770,"Ice_cream_cone_no_topping_chocolate_ice_cream",NA,NA,NA,"13120770"
"13120790_Ice_cream_sundae_cone",13120790,"Ice_cream_sundae_cone",NA,NA,NA,"13120790"
"13120800_Ice_cream_soda_flavors_other_than_chocolate",13120800,"Ice_cream_soda_flavors_other_than_chocolate",NA,NA,NA,"13120800"
"13130300_Light_ice_cream_flavors_other_than_chocolate_formerly_ice_milk",13130300,"Light_ice_cream_flavors_other_than_chocolate_formerly_ice_milk",NA,NA,NA,"13130300"
"13130300_Light_ice_cream_flavors_other_than_chocolate_formerly_ice_milk",13130300,"Light_ice_cream_flavors_other_than_chocolate_formerly_ice_milk",NA,NA,NA,"13130300"
"13130330_Light_ice_cream_no_sugar_added_flavors_other_than_chocolate",13130330,"Light_ice_cream_no_sugar_added_flavors_other_than_chocolate",NA,NA,NA,"13130330"
"13130330_Light_ice_cream_no_sugar_added_flavors_other_than_chocolate",13130330,"Light_ice_cream_no_sugar_added_flavors_other_than_chocolate",NA,NA,NA,"13130330"
"13130340_Light_ice_cream_no_sugar_added_chocolate",13130340,"Light_ice_cream_no_sugar_added_chocolate",NA,NA,NA,"13130340"
"13130590_Light_ice_cream_soft_serve_NS_as_to_flavor_formerly_ice_milk",13130590,"Light_ice_cream_soft_serve_NS_as_to_flavor_formerly_ice_milk",NA,NA,NA,"13130590"
"13130620_Light_ice_cream_soft_serve_cone_flavors_other_than_chocolate_formerly_ice_milk",13130620,"Light_ice_cream_soft_serve_cone_flavors_other_than_chocolate_formerly_ice_milk",NA,NA,NA,"13130620"
"13130630_Light_ice_cream_soft_serve_cone_chocolate_formerly_ice_milk",13130630,"Light_ice_cream_soft_serve_cone_chocolate_formerly_ice_milk",NA,NA,NA,"13130630"
"13130700_Light_ice_cream_soft_serve_blended_with_candy_or_cookies",13130700,"Light_ice_cream_soft_serve_blended_with_candy_or_cookies",NA,NA,NA,"13130700"
"13135000_Ice_cream_sandwich_made_with_light_ice_cream_flavors_other_than_chocolate",13135000,"Ice_cream_sandwich_made_with_light_ice_cream_flavors_other_than_chocolate",NA,NA,NA,"13135000"
"13135000_Ice_cream_sandwich_made_with_light_ice_cream_flavors_other_than_chocolate",13135000,"Ice_cream_sandwich_made_with_light_ice_cream_flavors_other_than_chocolate",NA,NA,NA,"13135000"
"13140700_Light_ice_cream_creamsicle_or_dreamsicle_formerly_ice_milk",13140700,"Light_ice_cream_creamsicle_or_dreamsicle_formerly_ice_milk",NA,NA,NA,"13140700"
"13140900_Light_ice_cream_fudgesicle_formerly_ice_milk",13140900,"Light_ice_cream_fudgesicle_formerly_ice_milk",NA,NA,NA,"13140900"
"13160160_Fat_free_ice_cream_no_sugar_added_flavors_other_than_chocolate",13160160,"Fat_free_ice_cream_no_sugar_added_flavors_other_than_chocolate",NA,NA,NA,"13160160"
"13161000_Milk_dessert_bar_frozen_made_from_lowfat_milk",13161000,"Milk_dessert_bar_frozen_made_from_lowfat_milk",NA,NA,NA,"13161000"
"13161520_Milk_dessert_sandwich_bar_frozen_with_lowcalorie_sweetener_made_from_lowfat_milk",13161520,"Milk_dessert_sandwich_bar_frozen_with_lowcalorie_sweetener_made_from_lowfat_milk",NA,NA,NA,"13161520"
"13161600_Milk_dessert_bar_frozen_made_from_lowfat_milk_and_low_calorie_sweetener",13161600,"Milk_dessert_bar_frozen_made_from_lowfat_milk_and_low_calorie_sweetener",NA,NA,NA,"13161600"
"13210110_Pudding_bread",13210110,"Pudding_bread",NA,NA,NA,"13210110"
"13210110_Pudding_bread_W_WHOLE_MILK",13210110,"Pudding_bread_W_WHOLE_MILK",NA,NA,NA,"13210110"
"13210250_Pudding_chocolate_ready_to_eat_low_calorie_containing_artificial_sweetener_NS_as_to_from_dry_mix_or_canned",13210250,"Pudding_chocolate_ready_to_eat_low_calorie_containing_artificial_sweetener_NS_as_to_from_dry_mix_or_canned",NA,NA,NA,"13210250"
"13210280_Pudding_flavors_other_than_chocolate_NS_as_to_from_dry_mix_or_readytoeat",13210280,"Pudding_flavors_other_than_chocolate_NS_as_to_from_dry_mix_or_readytoeat",NA,NA,NA,"13210280"
"13210300_Custard",13210300,"Custard",NA,NA,NA,"13210300"
"13210300_Custard",13210300,"Custard",NA,NA,NA,"13210300"
"13210350_Flan",13210350,"Flan",NA,NA,NA,"13210350"
"13210350_Flan",13210350,"Flan",NA,NA,NA,"13210350"
"13210410_Pudding_rice",13210410,"Pudding_rice",NA,NA,NA,"13210410"
"13210520_Pudding_tapioca_made_from_dry_mix_made_with_milk",13210520,"Pudding_tapioca_made_from_dry_mix_made_with_milk",NA,NA,NA,"13210520"
"13220120_Pudding_chocolate_prepared_from_dry_mix_milk_added_W_WHOLE_MILK",13220120,"Pudding_chocolate_prepared_from_dry_mix_milk_added_W_WHOLE_MILK",NA,NA,NA,"13220120"
"13220230_Pudding_canned_chocolate_reduced_fat",13220230,"Pudding_canned_chocolate_reduced_fat",NA,NA,NA,"13220230"
"13220240_Pudding_canned_flavors_other_than_chocolate_reduced_fat",13220240,"Pudding_canned_flavors_other_than_chocolate_reduced_fat",NA,NA,NA,"13220240"
"13250000_Mousse_chocolate",13250000,"Mousse_chocolate",NA,NA,NA,"13250000"
"13252600_Tiramisu",13252600,"Tiramisu",NA,NA,NA,"13252600"
"13411000_White_sauce_milk_sauce",13411000,"White_sauce_milk_sauce",NA,NA,NA,"13411000"
"13411000_White_sauce_milk_sauce",13411000,"White_sauce_milk_sauce",NA,NA,NA,"13411000"
"14010000_Cheese_NFS",14010000,"Cheese_NFS",NA,NA,NA,"14010000"
"14010000_Cheese_NFS",14010000,"Cheese_NFS",NA,NA,NA,"14010000"
"14010100_Cheese_Cheddar_or_American_type_NS_as_to_natural_or_processed",14010100,"Cheese_Cheddar_or_American_type_NS_as_to_natural_or_processed",NA,NA,NA,"14010100"
"14101010_Cheese_Blue_or_Roquefort",14101010,"Cheese_Blue_or_Roquefort",NA,NA,NA,"14101010"
"14101010_Cheese_Blue_or_Roquefort",14101010,"Cheese_Blue_or_Roquefort",NA,NA,NA,"14101010"
"14102010_Cheese_Brick",14102010,"Cheese_Brick",NA,NA,NA,"14102010"
"14103020_Cheese_Brie",14103020,"Cheese_Brie",NA,NA,NA,"14103020"
